,S.No,Symbol,LTP,Point Change,% Change,Open,High,Low,Volume,Prev. Close,
,,                                        82,,HIDCL,,,                                        169.50,,                                        2.20,,                                        1.32,,                                        168.00,,                                        170.60,,                                        165.40,,"                                        63,202.00",,                                        167.30,
,,                                        83,,HIDCLP,,,                                        99.20,,                                        -0.20,,                                        -0.20,,                                        99.80,,                                        99.80,,                                        99.00,,"                                        11,126.00",,                                        99.40,
,,                                        84,,HLBSL,,,"                                        1,223.00",,                                        14.00,,                                        1.16,,"                                        1,184.90",,"                                        1,238.90",,"                                        1,184.90",,"                                        52,210.00",,"                                        1,209.00",
,,                                        85,,HLI,,,                                        402.00,,                                        1.30,,                                        0.32,,                                        392.70,,                                        408.50,,                                        392.70,,"                                        64,682.00",,                                        400.70,
,,                                        86,,HPPL,,,                                        260.00,,                                        2.50,,                                        0.97,,                                        254.00,,                                        262.40,,                                        254.00,,"                                        9,622.00",,                                        257.50,
,,                                        87,,HRL,,,                                        585.10,,                                        0.80,,                                        0.14,,                                        572.70,,                                        595.80,,                                        572.70,,"                                        108,222.00",,                                        584.30,
,,                                        88,,HURJA,,,                                        279.00,,                                        -1.00,,                                        -0.36,,                                        284.00,,                                        284.00,,                                        278.00,,"                                        20,079.00",,                                        280.00,
,,                                        89,,ICFC,,,                                        515.00,,                                        3.80,,                                        0.74,,                                        512.00,,                                        522.00,,                                        511.00,,"                                        24,524.00",,                                        511.20,
,,                                        90,,ICFCD83,,,"                                        1,223.00",,                                        -7.00,,                                        -0.57,,"                                        1,223.00",,"                                        1,223.00",,"                                        1,223.00",,                                        13.00,,"                                        1,230.00",
,,                                        91,,IGI,,,                                        542.50,,                                        -2.50,,                                        -0.46,,                                        542.00,,                                        549.00,,                                        540.00,,"                                        34,882.00",,                                        545.00,
,,                                        92,,IHL,,,                                        395.90,,                                        1.90,,                                        0.48,,                                        388.30,,                                        404.00,,                                        388.20,,"                                        20,419.00",,                                        394.00,
,,                                        93,,ILBS,,,"                                        1,365.00",,                                        -20.00,,                                        -1.44,,"                                        1,357.30",,"                                        1,409.00",,"                                        1,340.00",,"                                        15,060.00",,"                                        1,385.00",
,,                                        94,,ILI,,,                                        457.00,,                                        9.00,,                                        2.01,,                                        451.00,,                                        461.00,,                                        447.00,,"                                        100,189.00",,                                        448.00,
,,                                        95,,JALPA,,,"                                        1,465.00",,                                        19.90,,                                        1.38,,"                                        1,445.10",,"                                        1,480.00",,"                                        1,430.00",,"                                        3,812.00",,"                                        1,445.10",
,,                                        96,,JBBL,,,                                        295.80,,                                        2.00,,                                        0.68,,                                        295.20,,                                        298.20,,                                        294.00,,"                                        22,155.00",,                                        293.80,
,,                                        97,,JBLB,,,"                                        1,400.00",,                                        11.00,,                                        0.79,,"                                        1,365.00",,"                                        1,421.00",,"                                        1,365.00",,"                                        8,230.00",,"                                        1,389.00",
,,                                        98,,JFL,,,                                        530.00,,                                        2.90,,                                        0.55,,                                        519.00,,                                        544.00,,                                        519.00,,"                                        30,015.00",,                                        527.10,
,,                                        99,,JOSHI,,,                                        306.00,,                                        4.60,,                                        1.53,,                                        305.00,,                                        307.00,,                                        300.50,,"                                        35,468.00",,                                        301.40,
,,                                        100,,JSLBB,,,"                                        1,363.00",,                                        28.80,,                                        2.16,,"                                        1,333.00",,"                                        1,369.90",,"                                        1,313.00",,"                                        1,477.00",,"                                        1,334.20",
,,                                        101,,KBL,,,                                        150.50,,                                        0.30,,                                        0.20,,                                        150.50,,                                        152.10,,                                        148.00,,"                                        174,877.00",,                                        150.20,
,,                                        102,,KBSH,,,"                                        1,130.00",,                                        20.00,,                                        1.80,,"                                        1,088.00",,"                                        1,177.00",,"                                        1,088.00",,                                        680.00,,"                                        1,110.00",
,,                                        103,,KDBY,,,                                        8.99,,                                        -0.04,,                                        -0.44,,                                        9.00,,                                        9.10,,                                        8.90,,"                                        27,320.00",,                                        9.03,
,,                                        104,,KDL,,,"                                        1,128.00",,                                        100.60,,                                        9.79,,"                                        1,047.90",,"                                        1,130.10",,"                                        1,047.00",,"                                        83,148.00",,"                                        1,027.40",
,,                                        105,,KEF,,,                                        8.49,,                                        0.08,,                                        0.95,,                                        8.25,,                                        8.49,,                                        8.25,,"                                        10,300.00",,                                        8.41,
,,                                        106,,KKHC,,,                                        224.70,,                                        0.70,,                                        0.31,,                                        223.10,,                                        225.00,,                                        220.00,,"                                        12,380.00",,                                        224.00,
,,                                        107,,KLBSL,,,                                        992.00,,                                        7.00,,                                        0.71,,                                        966.10,,                                        996.00,,                                        966.10,,"                                        2,146.00",,                                        985.00,
,,                                        108,,KMCDB,,,"                                        1,080.00",,                                        -31.00,,                                        -2.79,,"                                        1,133.20",,"                                        1,133.20",,"                                        1,025.00",,"                                        24,482.00",,"                                        1,111.00",
,,                                        109,,KPCL,,,                                        437.90,,                                        14.90,,                                        3.52,,                                        416.10,,                                        437.90,,                                        416.10,,"                                        69,566.00",,                                        423.00,
,,                                        110,,KRBL,,,                                        427.00,,                                        4.00,,                                        0.95,,                                        418.10,,                                        435.00,,                                        418.10,,"                                        11,103.00",,                                        423.00,
,,                                        111,,KSBBL,,,                                        383.00,,                                        2.00,,                                        0.52,,                                        387.50,,                                        387.50,,                                        374.00,,"                                        44,740.00",,                                        381.00,
,,                                        112,,KSBBLD87,,,"                                        1,001.00",,                                        -4.50,,                                        -0.45,,"                                        1,000.00",,"                                        1,001.00",,"                                        1,000.00",,                                        200.00,,"                                        1,005.50",
,,                                        113,,KSY,,,                                        8.67,,                                        0.48,,                                        5.86,,                                        8.19,,                                        8.67,,                                        8.19,,"                                        2,200.00",,                                        8.19,
,,                                        114,,LBBL,,,                                        387.90,,                                        -0.80,,                                        -0.21,,                                        387.90,,                                        390.00,,                                        383.40,,"                                        23,569.00",,                                        388.70,
,,                                        115,,LBBLD89,,,"                                        1,120.00",,                                        -19.00,,                                        -1.67,,"                                        1,120.00",,"                                        1,120.00",,"                                        1,120.00",,                                        25.00,,"                                        1,139.00",
,,                                        116,,LEC,,,                                        185.10,,                                        -1.40,,                                        -0.75,,                                        184.60,,                                        189.00,,                                        182.00,,"                                        48,153.00",,                                        186.50,
